Date,Open,High,Low,Close,Volume
2021-05-27,268.55,269.2,242.89,252.84,155071.73981
2021-05-28,252.81,267.22,218.99,262.1,244055.00517
2021-05-29,262.3,297.4,229.15,243.16,376103.62903
2021-05-30,243.13,268.45,226.02,261.9,144914.3873
2021-05-31,261.88,275.86,242.45,272.21,138570.24074
2021-06-01,272.11,276.5,252.5,266.37,136533.41927
2021-06-02,266.4,295.0,262.5,294.63,131447.47903
2021-06-03,294.63,316.23,285.67,309.57,177007.95518
2021-06-04,309.62,312.24,267.65,287.36,156030.11142
2021-06-05,287.41,295.14,256.91,264.01,166798.80051
2021-06-06,263.91,276.9,262.34,272.5,103782.64721
2021-06-07,272.5,282.16,247.0,249.02,117987.97191
2021-06-08,248.96,255.73,222.27,253.61,157186.22259
2021-06-09,253.59,275.31,237.22,274.87,155100.8423
2021-06-10,274.77,283.0,254.3,255.6,143655.2417
2021-06-11,255.62,258.61,240.33,242.89,93280.82417
2021-06-12,242.9,251.8,232.0,243.04,97936.08283
2021-06-13,243.06,262.29,237.45,260.75,71157.77901
2021-06-14,260.79,275.59,258.44,275.57,109891.70905
2021-06-15,275.51,285.5,272.1,278.15,124525.83183
2021-06-16,278.14,288.66,259.35,262.94,106485.21447
2021-06-17,262.9,281.95,261.77,277.12,95468.77049
2021-06-18,277.17,280.0,260.88,265.77,172250.17329
2021-06-19,265.88,282.15,263.07,267.9,125224.15244
2021-06-20,267.96,271.36,247.66,264.53,119084.38746
2021-06-21,264.56,265.71,200.17,203.05,227728.00656
2021-06-22,202.98,225.94,180.07,201.81,326674.32575
2021-06-23,201.81,224.14,192.59,218.51,179935.74855
2021-06-24,218.66,227.26,204.25,225.74,145645.61889
2021-06-25,225.76,227.76,192.64,194.95,174432.91431
2021-06-26,194.85,202.95,185.13,202.84,130234.09925
2021-06-27,202.83,212.05,195.51,211.92,85327.16509
2021-06-28,211.92,217.59,205.91,213.17,110639.16637
2021-06-29,213.25,227.04,212.17,217.89,119238.18174
2021-06-30,217.81,223.84,208.81,223.06,118266.61867
2021-07-01,223.09,223.37,203.18,205.44,124184.65086
2021-07-02,205.52,211.86,199.3,211.35,84529.23072
2021-07-03,211.35,216.35,206.7,214.86,68396.1177
2021-07-04,214.83,225.3,212.88,219.92,85565.30008
2021-07-05,219.87,220.55,205.63,214.47,101846.00844
2021-07-06,214.45,222.34,211.77,221.75,96336.9229
2021-07-07,221.74,231.61,214.21,215.17,106321.98914
2021-07-08,215.01,215.77,201.82,205.23,108787.59766
2021-07-09,205.27,215.0,199.69,212.87,78935.16088
2021-07-10,212.86,217.63,206.74,209.7,71042.4183
2021-07-11,209.66,214.68,207.88,211.52,59523.5112
2021-07-12,211.88,216.81,203.04,206.25,80874.38255
2021-07-13,206.17,211.58,200.39,203.83,82552.12103
2021-07-14,203.8,205.04,192.24,203.38,89484.6842
2021-07-15,203.42,205.56,190.17,196.71,96234.28883
2021-07-16,196.67,200.0,191.33,192.95,88632.01419
2021-07-17,192.89,199.72,191.0,197.56,69494.96323
2021-07-18,197.61,205.0,196.87,199.41,69717.77611
2021-07-19,199.51,200.4,187.56,189.02,104598.70387
2021-07-20,189.1,191.63,178.6,182.89,129942.42816
2021-07-21,182.89,200.41,178.92,196.77,123449.12482
2021-07-22,196.77,202.54,190.02,197.7,79271.28115
2021-07-23,197.7,203.96,194.29,203.96,64892.43527
2021-07-24,203.92,210.77,201.76,208.52,65329.56765
2021-07-25,208.49,214.67,203.96,212.91,62907.91275
2021-07-26,212.87,234.97,212.5,218.07,147828.05282
2021-07-27,218.07,226.65,214.0,225.59,107501.40675
2021-07-28,225.64,235.5,222.19,235.44,100130.16552
2021-07-29,235.35,248.12,230.7,241.67,94610.20565
2021-07-30,241.67,245.44,230.0,242.01,94946.19867
2021-07-31,242.01,249.06,234.29,239.86,110571.68197
2021-08-01,239.87,249.47,232.0,235.45,99286.66861
2021-08-02,235.57,244.63,228.18,232.58,96306.98945
2021-08-03,232.68,236.83,223.53,226.02,87241.24625
2021-08-04,225.93,245.71,223.0,244.38,87333.6802
2021-08-05,244.27,254.04,237.26,252.84,123186.59051
2021-08-06,252.91,267.75,250.51,263.09,119600.81536
2021-08-07,263.18,275.92,258.79,271.83,107894.54117
2021-08-08,271.86,274.79,256.0,257.12,121945.94812
2021-08-09,257.23,271.99,253.64,269.31,103405.03362
2021-08-10,269.3,271.08,260.14,266.34,92781.63147
2021-08-11,266.51,279.38,265.72,268.03,108037.41405
2021-08-12,268.04,276.62,252.24,257.42,101149.86177
2021-08-13,257.5,273.45,254.81,272.89,77292.38831
2021-08-14,273.0,279.39,264.69,271.6,84299.86573
2021-08-15,271.53,275.0,261.52,271.86,85488.44583
2021-08-16,271.8,285.0,266.11,266.5,110111.97887
2021-08-17,266.65,278.06,255.31,256.23,94669.40781
2021-08-18,256.4,262.07,245.66,252.51,104687.31298
2021-08-19,252.56,264.36,247.02,264.19,84771.38526
2021-08-20,264.18,283.29,262.0,282.06,132069.25514
2021-08-21,282.06,293.42,272.5,287.98,128307.88338
2021-08-22,287.96,306.77,275.03,306.38,159147.03919
2021-08-23,306.3,334.41,301.81,318.17,174067.87106
2021-08-24,318.05,339.72,302.67,307.33,184572.94434
2021-08-25,307.33,325.14,297.45,314.29,144898.5446
2021-08-26,314.21,317.75,286.1,291.4,115659.10583
2021-08-27,291.4,316.7,285.7,315.0,93122.31979
2021-08-28,314.8,316.6,298.2,300.5,65929.269
2021-08-29,300.6,306.8,287.1,291.4,90748.115
2021-08-30,291.4,295.1,280.1,281.8,104991.53114
2021-08-31,281.9,292.7,279.2,285.8,86153.62113
2021-09-01,285.8,303.6,280.0,302.9,103799.747
2021-09-02,302.8,309.5,297.5,302.5,92049.363
2021-09-03,302.5,309.7,296.6,304.1,84262.602
2021-09-04,304.2,311.4,298.5,305.1,69896.161
2021-09-05,305.2,319.6,299.6,315.4,104246.54624
2021-09-06,315.4,321.7,300.3,314.8,116946.45259
2021-09-07,314.8,316.3,232.0,263.2,255180.90384
2021-09-08,263.3,271.1,245.0,257.1,176421.283
2021-09-09,257.2,267.0,253.5,261.8,137862.402
2021-09-10,261.7,268.3,244.2,249.2,113032.06
2021-09-11,249.2,258.8,247.2,249.8,80660.835
2021-09-12,249.8,258.5,246.2,256.2,88817.468
2021-09-13,256.3,270.7,241.1,263.3,228138.796
2021-09-14,263.4,275.5,255.8,269.1,177878.858
2021-09-15,269.1,275.0,265.3,269.3,100897.726
2021-09-16,269.4,273.3,259.6,264.0,102061.362
2021-09-17,263.9,267.7,256.9,262.7,72689.95
2021-09-18,262.7,272.0,259.9,271.7,67880.329
2021-09-19,271.8,276.5,258.1,259.8,83890.531
2021-09-20,259.9,261.6,225.9,232.7,183120.75668
2021-09-21,232.7,237.5,212.0,218.0,150502.66975
2021-09-22,218.2,245.5,214.4,245.1,108780.762
2021-09-23,245.0,255.6,243.2,249.1,92112.901
2021-09-24,248.9,254.6,222.7,233.6,169465.965
2021-09-25,233.5,242.4,229.8,235.8,102763.576
2021-09-26,235.7,237.1,221.7,234.2,138917.997
2021-09-27,234.1,248.1,233.7,234.3,112243.201
2021-09-28,234.3,243.7,228.2,229.6,108966.893
2021-09-29,229.6,240.7,228.8,233.6,84941.996
2021-09-30,233.6,254.3,232.8,251.1,99198.013
2021-10-01,251.0,261.6,243.0,257.5,135878.427
2021-10-02,257.6,262.5,251.3,252.8,95213.202
2021-10-03,252.8,263.8,250.1,259.3,91600.901
2021-10-04,259.4,267.3,251.2,264.8,99294.554
2021-10-05,265.0,275.9,261.1,270.8,136475.869
2021-10-06,270.8,294.9,262.3,286.5,177874.142
2021-10-07,286.5,296.8,275.7,277.8,149360.851
2021-10-08,277.9,286.8,275.9,277.9,114299.678
2021-10-09,278.0,282.3,273.5,278.4,78453.807
2021-10-10,278.4,282.6,269.2,270.0,67879.576
2021-10-11,270.1,280.0,265.2,276.7,113796.893
2021-10-12,276.7,281.0,268.1,277.2,110990.419
2021-10-13,277.3,283.4,269.2,274.3,88679.26
2021-10-14,274.5,274.8,264.0,266.8,82726.828
2021-10-15,266.8,279.2,260.9,274.1,125756.912
2021-10-16,274.1,274.8,265.0,268.0,93570.065
2021-10-17,268.0,268.4,253.1,261.1,80307.882
2021-10-18,261.2,264.5,252.4,256.5,75956.274
2021-10-19,256.5,260.5,251.4,255.0,71420.444
2021-10-20,255.0,265.9,253.2,260.0,89428.994
2021-10-21,260.3,275.6,257.5,271.0,142658.612
2021-10-22,271.0,275.3,263.8,266.3,94430.585
2021-10-23,266.4,269.8,261.1,267.3,50666.779
2021-10-24,267.4,295.3,266.5,289.3,173343.887
2021-10-25,289.3,299.0,283.9,286.6,149746.819
2021-10-26,286.7,295.0,269.6,279.9,197648.885
2021-10-27,280.0,283.5,247.8,255.6,194732.833
2021-10-28,255.6,271.1,252.8,267.2,157374.604
2021-10-29,267.2,271.3,264.8,269.0,91097.603
2021-10-30,268.9,270.0,260.5,263.3,71348.005
2021-10-31,263.3,276.2,262.7,274.9,94958.944
2021-11-01,275.0,283.0,267.0,271.1,95192.492
2021-11-02,271.0,277.6,267.8,275.0,69536.097
2021-11-03,275.2,275.3,263.6,266.1,84756.58
2021-11-04,266.1,267.0,256.0,260.7,70814.139
2021-11-05,260.7,263.0,253.3,255.0,84430.214
2021-11-06,254.9,262.7,249.0,259.9,59908.994
2021-11-07,259.9,266.9,258.9,266.8,65333.504
2021-11-08,266.7,275.2,261.7,275.0,116618.817
2021-11-09,274.9,294.1,268.9,289.4,170016.062
2021-11-10,289.4,292.9,260.0,267.1,178580.127
