Asset,RSI_PERIOD,MACD_FAST,MACD_SLOW,MACD_SIGNAL,EMA_SHORT,EMA_LONG,BB_WINDOW,STOCH_WINDOW,STOP_LOSS_PCT,TAKE_PROFIT_PCT,Anzahl Trades,Gesamt-PnL,Trefferquote,Ø Trade-PnL,Max. Gewinn,Max. Verlust,Sharpe,MaxDrawdown,Letztes Kapital
BTCUSDT,8,8,18,6,21,100,10,8,0.02,0.04,246,1.183797885101404,52.03252032520326,0.004812186524802455,3.197304967822698,-2.3445823705701625,0.0838355944769649,-0.1518529509492034,1.0066240730767322
BTCUSDT,8,8,18,6,21,100,10,8,0.02,0.06,246,1.183797885101404,52.03252032520326,0.004812186524802455,3.197304967822698,-2.3445823705701625,0.0838355944769649,-0.1518529509492034,1.0066240730767322
BTCUSDT,8,8,18,6,21,100,10,8,0.02,0.1,246,1.183797885101404,52.03252032520326,0.004812186524802455,3.197304967822698,-2.3445823705701625,0.0838355944769649,-0.1518529509492034,1.0066240730767322
BTCUSDT,8,8,18,6,21,100,10,8,0.03,0.04,246,1.183797885101404,52.03252032520326,0.004812186524802455,3.197304967822698,-2.3445823705701625,0.0838355944769649,-0.1518529509492034,1.0066240730767322
BTCUSDT,8,8,18,6,21,100,10,8,0.03,0.06,246,1.183797885101404,52.03252032520326,0.004812186524802455,3.197304967822698,-2.3445823705701625,0.0838355944769649,-0.1518529509492034,1.0066240730767322
BTCUSDT,8,8,18,6,21,100,10,8,0.03,0.1,246,1.183797885101404,52.03252032520326,0.004812186524802455,3.197304967822698,-2.3445823705701625,0.0838355944769649,-0.1518529509492034,1.0066240730767322
BTCUSDT,8,8,18,6,21,100,10,8,0.05,0.04,246,1.183797885101404,52.03252032520326,0.004812186524802455,3.197304967822698,-2.3445823705701625,0.0838355944769649,-0.1518529509492034,1.0066240730767322
BTCUSDT,8,8,18,6,21,100,10,8,0.05,0.06,246,1.183797885101404,52.03252032520326,0.004812186524802455,3.197304967822698,-2.3445823705701625,0.0838355944769649,-0.1518529509492034,1.0066240730767322
BTCUSDT,8,8,18,6,21,100,10,8,0.05,0.1,246,1.183797885101404,52.03252032520326,0.004812186524802455,3.197304967822698,-2.3445823705701625,0.0838355944769649,-0.1518529509492034,1.0066240730767322
BTCUSDT,8,8,18,6,21,100,10,14,0.02,0.04,257,-0.8922757023467156,51.75097276264592,-0.0034718898923996717,3.197304967822698,-2.3445823705701625,-1.0845268230914804,-0.1717483449278204,0.9857096758351497
BTCUSDT,8,8,18,6,21,100,10,14,0.02,0.06,257,-0.8922757023467156,51.75097276264592,-0.0034718898923996717,3.197304967822698,-2.3445823705701625,-1.0845268230914804,-0.1717483449278204,0.9857096758351497
BTCUSDT,8,8,18,6,21,100,10,14,0.02,0.1,257,-0.8922757023467156,51.75097276264592,-0.0034718898923996717,3.197304967822698,-2.3445823705701625,-1.0845268230914804,-0.1717483449278204,0.9857096758351497
BTCUSDT,8,8,18,6,21,100,10,14,0.03,0.04,256,-0.8654402837513864,51.953125,-0.003380626108403853,3.197304967822698,-3.328590790296013,-1.046771258632013,-0.1717483449278204,0.9857096758351497
BTCUSDT,8,8,18,6,21,100,10,14,0.03,0.06,256,-0.8654402837513864,51.953125,-0.003380626108403853,3.197304967822698,-3.328590790296013,-1.046771258632013,-0.1717483449278204,0.9857096758351497
BTCUSDT,8,8,18,6,21,100,10,14,0.03,0.1,256,-0.8654402837513864,51.953125,-0.003380626108403853,3.197304967822698,-3.328590790296013,-1.046771258632013,-0.1717483449278204,0.9857096758351497
BTCUSDT,8,8,18,6,21,100,10,14,0.05,0.04,256,-0.8654402837513864,51.953125,-0.003380626108403853,3.197304967822698,-3.328590790296013,-1.046771258632013,-0.1717483449278204,0.9857096758351497
BTCUSDT,8,8,18,6,21,100,10,14,0.05,0.06,256,-0.8654402837513864,51.953125,-0.003380626108403853,3.197304967822698,-3.328590790296013,-1.046771258632013,-0.1717483449278204,0.9857096758351497
BTCUSDT,8,8,18,6,21,100,10,14,0.05,0.1,256,-0.8654402837513864,51.953125,-0.003380626108403853,3.197304967822698,-3.328590790296013,-1.046771258632013,-0.1717483449278204,0.9857096758351497
BTCUSDT,8,8,18,6,21,100,20,8,0.02,0.04,349,-3.760547222193807,51.00286532951289,-0.010775206940383402,3.197304967822698,-2.3445823705701625,-1.4997944919198025,-0.13552511155326585,0.9566360656985444
BTCUSDT,8,8,18,6,21,100,20,8,0.02,0.06,349,-3.760547222193807,51.00286532951289,-0.010775206940383402,3.197304967822698,-2.3445823705701625,-1.4997944919198025,-0.13552511155326585,0.9566360656985444
BTCUSDT,8,8,18,6,21,100,20,8,0.02,0.1,349,-3.760547222193807,51.00286532951289,-0.010775206940383402,3.197304967822698,-2.3445823705701625,-1.4997944919198025,-0.13552511155326585,0.9566360656985444
BTCUSDT,8,8,18,6,21,100,20,8,0.03,0.04,349,-3.760547222193807,51.00286532951289,-0.010775206940383402,3.197304967822698,-2.3445823705701625,-1.4997944919198025,-0.13552511155326585,0.9566360656985444
BTCUSDT,8,8,18,6,21,100,20,8,0.03,0.06,349,-3.760547222193807,51.00286532951289,-0.010775206940383402,3.197304967822698,-2.3445823705701625,-1.4997944919198025,-0.13552511155326585,0.9566360656985444
BTCUSDT,8,8,18,6,21,100,20,8,0.03,0.1,349,-3.760547222193807,51.00286532951289,-0.010775206940383402,3.197304967822698,-2.3445823705701625,-1.4997944919198025,-0.13552511155326585,0.9566360656985444
BTCUSDT,8,8,18,6,21,100,20,8,0.05,0.04,349,-3.760547222193807,51.00286532951289,-0.010775206940383402,3.197304967822698,-2.3445823705701625,-1.4997944919198025,-0.13552511155326585,0.9566360656985444
BTCUSDT,8,8,18,6,21,100,20,8,0.05,0.06,349,-3.760547222193807,51.00286532951289,-0.010775206940383402,3.197304967822698,-2.3445823705701625,-1.4997944919198025,-0.13552511155326585,0.9566360656985444
BTCUSDT,8,8,18,6,21,100,20,8,0.05,0.1,349,-3.760547222193807,51.00286532951289,-0.010775206940383402,3.197304967822698,-2.3445823705701625,-1.4997944919198025,-0.13552511155326585,0.9566360656985444
BTCUSDT,8,8,18,6,21,100,20,14,0.02,0.04,362,-3.4374960556256724,50.27624309392266,-0.009495845457529482,3.197304967822698,-2.3445823705701625,-1.246961271811091,-0.15444552891493404,0.9587899850859887
BTCUSDT,8,8,18,6,21,100,20,14,0.02,0.06,362,-3.4374960556256724,50.27624309392266,-0.009495845457529482,3.197304967822698,-2.3445823705701625,-1.246961271811091,-0.15444552891493404,0.9587899850859887
BTCUSDT,8,8,18,6,21,100,20,14,0.02,0.1,362,-3.4374960556256724,50.27624309392266,-0.009495845457529482,3.197304967822698,-2.3445823705701625,-1.246961271811091,-0.15444552891493404,0.9587899850859887
